State,RegionName
North Carolina,University of North Carolina at Pembroke
North Carolina,University of North Carolina at Wilmington
North Carolina,Wingate University
North Carolina,Wake Forest University, University of North Carolina School of the Arts, Salem College, Winston-Salem State University
North Dakota,North Dakota State University
North Dakota,University of North Dakota
Ohio,Ohio Northern University
Ohio,University of Mount Union
Ohio,Ashland University
Ohio,Ohio University
Ohio,Baldwin Wallace College
Ohio,Bluffton University
Ohio,Bowling Green State University
Ohio,Cedarville University
Ohio,Ohio State University
Ohio,Ohio Wesleyan University
Ohio,Wright State University
Ohio,University of Findlay
Ohio,Kenyon College
Ohio,Denison University
Ohio,Hiram College
Ohio,Kent State University
Ohio,Hocking College
Ohio,Muskingum College
Ohio,Oberlin College
Ohio,Miami University
Ohio,University of Rio Grande
Ohio,Wilberforce University, Central State University
Oklahoma,East Central University
Oklahoma,Northwestern Oklahoma State University
Oklahoma,Southeastern Oklahoma State University
Oklahoma,University of Central Oklahoma, Oklahoma Christian University
Oklahoma,Oklahoma Panhandle State University
Oklahoma,Langston University
Oklahoma,University of Oklahoma
Oklahoma,Oklahoma State University
Oklahoma,Northeastern State University
Oklahoma,The University of Tulsa
Oklahoma,Southwestern Oklahoma State University
Oregon,Southern Oregon University
Oregon,Oregon State University
Oregon,Lane Community College, Northwest Christian University, University of Oregon
Oregon,Pacific University
Oregon,Klamath Community College, Oregon Institute of Technology
Oregon,Eastern Oregon University
Oregon,Marylhurst University
Oregon,Linfield College
Oregon,Western Oregon University
Oregon,George Fox University
Pennsylvania,Penn State Altoona
Pennsylvania,Lebanon Valley College
Pennsylvania,Lehigh University, Moravian College
Pennsylvania,Bloomsburg University of Pennsylvania
Pennsylvania,University of Pittsburgh at Bradford
Pennsylvania,California University of Pennsylvania
Pennsylvania,Dickinson College
Pennsylvania,Temple University
Pennsylvania,Clarion University of Pennsylvania
Pennsylvania,Ursinus College
Pennsylvania,Mount Aloysius College
Pennsylvania,East Stroudsburg University of Pennsylvania
Pennsylvania,Edinboro University of Pennsylvania
Pennsylvania,Gannon University, Mercyhurst College, Penn State Erie
Pennsylvania,Gettysburg College
Pennsylvania,Seton Hill University, University of Pittsburgh at Greensburg
Pennsylvania,Grove City College
Pennsylvania,Juniata College
Pennsylvania,Indiana University of Pennsylvania
Pennsylvania,University of Pittsburgh at Johnstown
Pennsylvania,Kutztown University of Pennsylvania
Pennsylvania,Franklin & Marshall
Pennsylvania,Bucknell University
Pennsylvania,Lock Haven University of Pennsylvania
Pennsylvania,St. Francis University
Pennsylvania,Mansfield University of Pennsylvania
Pennsylvania,Allegheny College
Pennsylvania,Penn State Mont Alto
Pennsylvania,Millersville University of Pennsylvania
Pennsylvania,Westminster College
Pennsylvania,Mercyhurst North East
Pennsylvania,Drexel University, University of Pennsylvania, University of the Sciences in Philadelphia
Pennsylvania,Carnegie Mellon University, University of Pittsburgh, Carlow University
Pennsylvania,Albright College, Alvernia University, Penn State Berks
Pennsylvania,Susquehanna University
Pennsylvania,Shippensburg University of Pennsylvania
Pennsylvania,Slippery Rock University of Pennsylvania
Pennsylvania,Pennsylvania State University
Pennsylvania,Villanova University
Pennsylvania,Waynesburg University
Pennsylvania,West Chester University of Pennsylvania
Pennsylvania,King's College, Wilkes University
Pennsylvania,Lycoming College, Pennsylvania College of Technology
Rhode Island,University of Rhode Island
Rhode Island,Brown University, (University of Rhode Island
South Carolina,Southern Wesleyan University
South Carolina,College of Charleston, The Citadel, MUSC
South Carolina,Clemson University
South Carolina,Presbyterian College
South Carolina,University of South Carolina
South Carolina,Erskine College
South Carolina,Francis Marion University
South Carolina,Lander University
South Carolina,South Carolina State University, Claflin University
South Carolina,Winthrop University
South Carolina,Wofford College, Converse College, University of South Carolina Upstate, Spartanburg Methodist College, Edward Via College of Osteopathic Medicine, Spartanburg Community College, Virginia College, Sherman College of Chiropractic
South Dakota,South Dakota State University
South Dakota,Dakota State University
South Dakota,Black Hills State University
South Dakota,University of South Dakota
Tennessee,University of Tennessee at Chattanooga
Tennessee,Southern Adventist University
Tennessee,Tennessee Technological University
Tennessee,Lincoln Memorial University
Tennessee,Freed-Hardeman University
Tennessee,East Tennessee State University
Tennessee,University of Tennessee
Tennessee,University of Tennessee at Martin
Tennessee,Bethel University
